episode,state,next_state,time_index,time
1,"(6, 2)","(6, 1)",20,0.0015060901641845703
1,"(6, 1)","(7, 1)",21,0.0015540122985839844
1,"(7, 1)","(8, 1)",22,0.001613616943359375
1,"(8, 1)","(9, 1)",23,0.001678466796875
1,"(9, 1)","(9, 2)",24,0.0017468929290771484
1,"(9, 2)","(10, 2)",25,0.0018968582153320312
1,"(10, 2)","(9, 2)",26,0.001991748809814453
1,"(9, 2)","(9, 1)",27,0.0020761489868164062
1,"(9, 1)","(9, 0)",28,0.002144336700439453
1,"(9, 0)","(9, 0)",29,0.0022199153900146484
1,"(9, 0)","(10, 0)",30,0.0022819042205810547
1,"(10, 0)","(11, 0)",31,0.0023431777954101562
1,"(11, 0)","(11, 1)",32,0.0023956298828125
1,"(11, 1)","(11, 2)",33,0.0024433135986328125
1,"(11, 2)","(11, 1)",34,0.0025224685668945312
1,"(11, 1)","(11, 0)",35,0.002590179443359375
1,"(11, 0)","(10, 0)",36,0.0026662349700927734
1,"(10, 0)","(11, 0)",37,0.0027184486389160156
1,"(11, 0)","(11, 0)",38,0.0027670860290527344
1,"(11, 0)","(11, 0)",39,0.0030205249786376953
1,"(11, 0)","(11, 1)",40,0.0030939579010009766
1,"(11, 1)","(11, 2)",41,0.0031824111938476562
1,"(11, 2)","(10, 2)",42,0.0032532215118408203
1,"(10, 2)","(10, 1)",43,0.00333404541015625
1,"(10, 1)","(10, 2)",44,0.003391742706298828
1,"(10, 2)","(0, 3)",45,0.003455638885498047
1,"(0, 3)","(0, 2)",46,0.0035169124603271484
1,"(0, 2)","(1, 2)",47,0.0035707950592041016
1,"(1, 2)","(2, 2)",48,0.0036318302154541016
1,"(2, 2)","(3, 2)",49,0.0036902427673339844
1,"(3, 2)","(4, 2)",50,0.0037369728088378906
1,"(4, 2)","(5, 2)",51,0.003803253173828125
1,"(5, 2)","(6, 2)",52,0.004355907440185547
1,"(6, 2)","(7, 2)",53,0.004521846771240234
1,"(7, 2)","(8, 2)",54,0.004700899124145508
1,"(8, 2)","(9, 2)",55,0.007055521011352539
1,"(9, 2)","(10, 2)",56,0.007634162902832031
1,"(10, 2)","(11, 2)",57,0.007942438125610352
1,"(11, 2)","(11, 3)",58,0.00822305679321289
2,"(0, 3)","(0, 2)",0,8.559226989746094e-05
2,"(0, 2)","(1, 2)",1,0.00019741058349609375
2,"(1, 2)","(2, 2)",2,0.0002849102020263672
2,"(2, 2)","(3, 2)",3,0.0003230571746826172
2,"(3, 2)","(3, 1)",4,0.0003590583801269531
2,"(3, 1)","(4, 1)",5,0.0003838539123535156
2,"(4, 1)","(5, 1)",6,0.0004050731658935547
2,"(5, 1)","(6, 1)",7,0.00043463706970214844
2,"(6, 1)","(6, 0)",8,0.00046563148498535156
